Title,Author,Keywords,Description,Permalink
Towards a political economy of technical systems: The case of Google,"Rieder, Bernhard","big tech ; Google ; Materiality ; monopolization ; Operational definitions ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; technical system","This research commentary proposes a conceptual framework for studying big tech companies as “technical systems” that organize much of their operation around the mastery and operationalization of key technologies that facilitate and drive their continuous expansion. Drawing on the study of Large Technical Systems (LTS), on the work of historian Bertrand Gille, and on the economics of General Purpose Technologies (GPTs), it outlines a way to study the “tech” in “big tech” more attentively, looking for compatibilities, synergies, and dependencies between the technologies created and deployed by these companies. Using Google as example, the paper shows how to interrogate software and hardware through the lens of transversal applicability, discusses software and hardware integration, and proposes the notion of “data amalgams” to contextualize and complicate the notion of data. The goal is to complement existing vectors of “big tech” critique with a perspective sensitive to the specific materialities of specific technologies and their possible consequences.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_77486e21498044cf828d83691df428dd
The power of qualitative research in the era of social media,"Branthwaite, Alan ; Patterson, Simon",Automated content analysis ; Brands ; Ethnography ; Public relations agencies ; Research methodology ; Social media monitoring ; Social research ; Studies,"Purpose - The electronic social media such as Twitter, Facebook, MySpace, etc. have become a major form of communication, and the expression of attitudes and opinions, for the general public. Recently, they have also become a source of data for market researchers. This paper aims to provide a critical look at the advantages and limitations of such an approach to understanding brand perceptions and attitudes in the market place. Although the social media provide a wealth of data for automated content analyses, this review questions the validity and reliability of this research approach, and concludes that social media monitoring (SMM) is a poor substitute for in-depth qualitative research which has many advantages and benefits.Design methodology approach - The paper presents a detailed, systematic comparison of various research approaches. These include well-established methods and recent inventions which are in use to explore and understand consumer behaviour and attitudes. Particular attention is given to the analysis of spontaneous consumer attitudes as expressed through the social media and also in qualitative research interviews.Findings - This analysis concludes that there are three critical features which differentiate qualitative research (as practised in IDIs and group discussions) from SMM. These are: the direct, interactive dialogue or conversation between consumers and researchers; the facility to ""listen"" and attend to the (sometimes unspoken) underlying narrative which connects consumers' needs and aspirations, personal goals and driving forces to behaviour and brand choice; and the dynamic, interactive characteristics of the interview that achieve a meeting of minds to produce a shared understanding. Philosophically, it is this ""conversation"" that gives qualitative research its validity and authenticity which makes it superior to SMM.Originality value - This review questions the validity and reliability of the SMM, and concludes that it is a poor substitute for in-depth qualitative research which has many advantages and benefits.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_emerald_primary_10_1108_13522751111163245
The power of code: women and the making of the digital world,"Klinger, Ulrike ; Svensson, Jakob",communication studies ; computer-mediated-communication ; ICTs,"Most research on gender and digital communication centers on how women use digital media, how they participate online, or how they are treated in online forums and social media. This article, in contrast, approaches gender from a behind the screen perspective. How algorithms and platforms are created, designed, and maintained, the affordances they provide for users and how they govern the ways users communicate with each other, has a major impact on digital communication. However, it is mostly men who create these technologies. Our study approaches technologies as socio-cultural, departing from the concept of network media logic. Empirically, it is based on (1) the review of a diverse body of literature from the history of programming, professional sociology, and computer science and documents such as the diversity reports from tech giants, as well as on (2) 64 semi-structured expert interviews conducted with male and female programmers in seven countries over a time-period of four years. Results show that the gender gap continues to run deep. We report results in four dimensions: professional culture, pervasive stereotypes, lack of role models and typical career paths.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_swepub_primary_oai_DiVA_org_mau_44886
The evolution of the code during review: an investigation on review changes,"Fregnan, Enrico ; Petrulio, Fernando ; Bacchelli, Alberto","Article ; Compilers ; Computer Science, Software Engineering ; Programming Languages ; Science & Technology ; Software Engineering/Programming and Operating Systems","Code review is a software engineering practice in which reviewers manually inspect the code written by a fellow developer and propose any change that is deemed necessary or useful. The main goal of code review is to improve the quality of the code under review. Despite the widespread use of code review, only a few studies focused on the investigation of its outcomes, for example, investigating the code changes that happen to the code under review. The goal of this paper is to expand our knowledge on the outcome of code review while re-evaluating results from previous work. To this aim, we analyze changes that happened during the review process, which we define as
 review changes
 . Considering three popular open-source software projects, we investigate the types of review changes (based on existing taxonomies) and what triggers them; also, we study which code factors in a code review are most related to the number of review changes. Our results show that the majority of changes relate to evolvability concerns, with a strong prevalence of documentation and structure changes at type-level. Furthermore, differently from past work, we found that the majority of review changes are not triggered by reviewers’ comments. Finally, we find that the number of review changes in a code review is related to the size of the initial patch as well as the new lines of code that it adds. However, other factors, such as lines deleted or the author of the review patchset, do not always show an empirically supported relationship with the number of changes.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_miscellaneous_2718637868
The ethical dimensions of Google autocomplete,"Graham, Rosie","Content management ; Ethical standards ; Holocaust ; Human influences ; Politics ; Resistance ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; User satisfaction","Search engines no longer merely shape public understanding and access to the content of the World Wide Web: they shape public understanding of the world. Search engine results produced by secret, corporate-curated “search scripts” of algorithmic and human activity influence societies’ understanding of history, and current events. Society’s growing reliance on online platforms for information about current and historical events raises the stakes of search engines’ content moderation practices for information providers and seekers and society. Public controversies over the results returned by search engines to politically and morally charged queries evidence the growing importance, and politics, of corporations’ content moderation activities. Despite public concern with the political and moral impact of search engine results, search engine providers have resisted requests to alter their content moderation practices, responding instead with explanations, directions, and assistance that place responsibility for altering search results on information providers and seekers. This essay explores a public controversy around the results Google’s search engine returned to the query “did the holocaust happen” in order to understand how different imaginaries of the script of search contribute to the production of problematic results and shape perceptions of how to allocate responsibility for fixing it. Using Madeleine Akrich’s conception of a script—the roles and expectations prescribed to, and demanded of, the users by the designers of a technology—we unpack mismatches that fuel public objections to the results and corporate resistance to changing the script that produced them. Public objections are grounded in well-founded imaginaries of search engines not merely as providers of relevant information, but at least with respect to human rights atrocities such as the holocaust, as stewards of authoritative historical truth. Corporate resistance to altering the search script is rooted in a deep commitment to engineering logics which tether search engine performance to observational measures of user satisfaction, coupled with limited recognition of the role search results play in constructing the need being satisfied and a general reluctance to diverge from the search script to remove content protected by the First Amendment. Despite this resistance, we believe Google and other search engine providers are not completely wedded to the current search of script, just reluctant to move without clear guidance and concerned with the potential consequences of rescripting other speech. The essay concludes by offering a way forward grounded in developments in business and human rights. The emerging soft law requirement that businesses respect and remedy human rights violations entangled in their business operations provides a normative basis for rescripting search. The final section of this essay argues that the “right to truth,” increasingly recognized in human rights law as both an individual and collective right in the wake of human rights atrocities, is directly affected by Google and other search engine providers’ search script. Returning accurate information about human rights atrocities—specifically, historical facts established by a court of law or a truth commission established to document and remedy serious and systematic human rights violations—in response to queries about those human rights atrocities would make good on search engine providers’ obligations to respect human rights but keep adjudications of truth with politically legitimate expert decision makers. At the same time, the right to freedom of expression and access to information provides a basis for rejecting many other demands to deviate from the script of search. Thus, the business and human rights framework provides a moral and legal basis for rescripting search and for cabining that rescription.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_dc5930034ecd4ac0ae00b6f536cf2bdd
The anxious flâneur: Digital archiving and the Wayback Machine,"Hartelius, E. Johanna",archive ; browsing ; Digital archives ; Flaneur ; unheimlich ; Wayback Machine,"The Wayback Machine, the world's most extensive web archive, contains over 370 billion webpages dating to 1996. Yet despite its tagline, ""Universal Access to All Knowledge,"" overwhelmed visitors report frustration and trouble with keyword searching and site navigation. This essay uses the Wayback Machine to demonstrate how access as a digital archival ideal is realized only to the extent that it is defined in terms of delivery and not disposition. Further, I submit that the combination of copious delivery and a weak structure, or lack of meaningful arrangement, is conducive to flânerie, a perusal movement through digital objects. Contra the cultural imaginary of the flâneur as a figure of pleasure, I suggest that practices of flânerie generate an experience of displacement and angst. With reference to Martin Heidegger's concept of the unheimlich (uncanny), I characterize being in a web archive as immersive but anxiously placeless. I then rely on Heidegger again to identify a productively dispositional role for rhetoric in digital archiving. As logos, rhetoric builds a structure, or ""dwelling,"" that might provide orientation and make the archival unheimlich tolerable. The essay's implications pertain to the conditions of inhabitability in networked culture, which by design is functionally archival.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2456364536
Tech money in civil society: whose interests do digital rights organisations represent?,"Goldenfein, Jake ; Mann, Monique",Academic work ; Big Tech ; Cultural Studies ; cy pres ; digital rights ; Dominance ; Life Sciences & Biomedicine ; Perpetuation ; philanthrocapitalism ; Philanthropy ; Science & Technology ; Settlements & damages ; Tracking,"This article explores philanthropic interactions between 'Big Tech' and digital rights civil society organizations (DRCSOs) to enhance understanding of the alignment and misalignment of interests between these groups. 'Big Tech' wields political influence by distributing cash to research and policy organizations. Academic research supporting 'Big Tech' business practices is marshalled to support their political lobbying efforts, while civil society policy work shapes the narrative what dimensions of these businesses should be regulated (or not). While academic work is typically presented as a cool analysis of the relevant issues, DRCSOs purport to represent the interests of individuals and groups negatively affected by those business practices. Through empirical tracking of direct financial flows, as well as an analysis of cash distributions via class action litigation settlements, we show that certain DRCSOs have long-term financial relationships with 'Big Tech' that trouble our understanding of the alignments or misalignments of their interests. Through that analysis, we question where and how civil society fits into automated and algorithmic cultural production and perpetuation, and the way that Big Tech uses and guards the economic capital generated through its dominance over 'automated culture'.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2763960828
Smartphone Shadow Matching for Better Cross-street GNSS Positioning in Urban Environments,"Wang, Lei ; Groves, Paul D ; Ziebart, Marek K",Accuracy ; Global positioning systems ; GNSS ; GPS ; Matching ; Navigation systems ; Performance assessment ; Satellite systems ; Science & Technology ; Shadow Matching ; Shadows ; Smartphone ; Three dimensional models ; Urban Canyons ; Urban environments,"Global Navigation Satellite System (GNSS) shadow matching is a new positioning technique that determines position by comparing the measured signal availability and strength with predictions made using a three-dimensional (3D) city model. It complements conventional GNSS positioning and can significantly improve cross-street positioning accuracy in dense urban environments. This paper describes how shadow matching has been adapted to work on an Android smartphone and presents the first comprehensive performance assessment of smartphone GNSS shadow matching. Using GPS and GLONASS data recorded at 20 locations within central London, it is shown that shadow matching significantly outperforms conventional GNSS positioning in the cross-street direction. The success rate for obtaining a cross-street position accuracy within 5 m, enabling the correct side of a street to be determined, was 54·50% using shadow matching, compared to 24·77% for the conventional GNSS position. The likely performance of four-constellation shadow matching is predicted, the feasibility of a large-scale implementation of shadow matching is assessed, and some methods for improving performance are proposed. A further contribution is a signal-to-noise ratio analysis of the direct line-of-sight and non-line-of-sight signals received on a smartphone in a dense urban environment.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_miscellaneous_1685797652
Repurposing Digital Methods in a Post-API Research Environment: Methodological and Ethical Implications,"Caliandro, Alessandro",Emic and etic ; Methodological problems ; Research ethics,"Especially after the social media curtailing brought about the Cambridge Analytica scandal, it has become increasingly difficult to do social media research by using digital methods as well as following the medium. This condition brings in new methodological and ethical challenges. This article proposes some methodological strategies to 'repurpose' digital methods in a post-API research environment. The discussion draws on three case studies: 1) studying Instagram stories: the scraping dilemma; 2) studying smartphone in everyday contexts: researching digital environments not connected to APIs; 3) studying fake news on Twitter: dealing with increasingly useless APIs data. For each case study methodological and ethical implications are examined. In conclusion, the article suggests that a possible viable strategy to repurpose digital methods in a postAPI era is to follow the natives (along with the medium), that is, to take advantage of the natively digital methods through which social media users manage their own data as well as emic conception of what is ethical (or at least acceptable) regarding the handling of their own data.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2522189068
Privacy engineering and the techno-regulatory imaginary,"Rommetveit, Kjetil ; van Dijk, Niels",Arts & Humanities ; boundary work ; data protection by design ; Future ; General Data Protection Regulation ; Governance ; History & Philosophy Of Science ; Legitimation ; New sites ; privacy engineering ; Rights ; techno-regulatory imaginary,"The European Union’s General Data Protection Regulation (GDPR), in force since 2018, has introduced design-based approaches to data protection and the governance of privacy. In this article we describe the emergence of the professional field of privacy engineering to enact this shift in digital governance. We argue that privacy engineering forms part of a broader techno-regulatory imaginary through which (fundamental) rights protections become increasingly future-oriented and anticipatory. The techno-regulatory imaginary is described in terms of three distinct privacy articulations, implemented in technologies, organizations, and standardizations. We pose two interrelated questions: What happens to rights as they become implemented and enacted in new sites, through new instruments and professional practices? And, focusing on shifts to the nature of boundary work, we ask: What forms of legitimation can be discerned as privacy engineering is mobilized for the making of future digital markets and infrastructures?",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_crossref_primary_10_1177_03063127221119424
Parasite or Partner? Coverage of Google News in an Era of News Aggregation,"Chyi, Hsiang Iris ; Lewis, Seth C. ; Zheng, Nan",aggregation ; Collaboration ; Content analysis ; facticity ; Google News ; Literature Reviews ; New York Times Co ; news coverage ; news sourcing ; Newspaper industry ; sociology of professions,"With online news aggregators outperforming most traditional media sites, some news executives have accused Google News of stealing their content, even as they rely on Google for exposure. Through a content analysis, this study examines how leading traditional news providers and trade publications, during the 2007-2010 financial shock for U.S. newspapers, covered the newspaper industry’s delicate relationship with Google. Results indicate that such coverage de-emphasized the non-advertising nature of Google News, ignored readers’ views, and used emotion-laden language (e.g., sensational accusations against Google of “stealing” newspaper content or being a “parasite”). Although Google was often portrayed as the enemy, most coverage suggested that newspapers should work with Google, pointing to the challenge of assessing Google’s role in an unfolding era of news aggregation.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_miscellaneous_1919455602
Order versus access: news search engines and the challenge to traditional journalistic roles,"Carlson, Matt",Access ; Google ; Journalistic authority ; New media,"This article examines tensions between new media forms and traditional journalistic practice through the rise of news search engines that index news stories from across the web. Specifically, Google News is taken up as a case study because of its popularity and its insistence on not using human editors. Conflicting normative articulations of journalism arise between traditional news and news search engines: the former promotes an interpretive order through purposefully structuring the news product to create a meaningful map of what is important, while the latter promotes diversity through creating easy access to different viewpoints and multiple versions of a story without legitimating one view over another. As a result, tensions form around questions of what journalism does and what it should do.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_miscellaneous_61698539
JASIST Special Issue Editorial: Re‐orienting search engine research in information science,"Lewandowski, Dirk ; Haider, Jutta ; Sundin, Olof","Computer Science, Information Systems ; Information Science & Library Science ; Information Studies ; Library and Information Science ; Media and Communications ; Science & Technology",*No Description*,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_swepub_primary_oai_lup_lub_lu_se_25e316ea_1436_474b_86a1_20d21b3efbbf
"Informing, implying or directing? Testing the effects of message sidedness, conclusiveness and their interaction in national and local Google Ads campaigns","Yao, Qingjiang",Conclusiveness ; Google ads advertising ; Keywords ; Search engine advertising ; Sidedness,"This study aims to apply and test the effectiveness of message sidedness and conclusiveness in Google Ads advertising.Design/methodology/approachFour field experiments on Google Ad campaigns were conducted on the topics of energy and environment, the water–energy–food nexus, and a Higher-Ed program (at the national and local levels).FindingsTwo-sided search engine advertisements are more effective than one-sided advertisements in national campaigns but less effective in local campaigns. In national campaigns, conclusive search engine advertisements are more effective in increasing impressions and clicks, but inconclusive advertisements are more effective in increasing the click-through rate (CTR); in local campaigns, inconclusive advertisements are more effective when being one-sided, while conclusive advertisements are more effective when being two-sided. Overall, the two-sided and inconclusive advertisement generates the best results in a national campaign, but the one-sided and inconclusive advertisement generates the best results in a local campaign.Originality/valueAs the first to test sidedness and conclusiveness with Google Ads advertising, the paper provides theoretical and practical suggestions to search engine marketers by identifying the effective copywriting strategies, moderating factors and more measurements of effectiveness.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_2581658263
Information governance in digitized public administration,"Brown, David C. G. ; Toze, Sandra",Disclosure ; Governance ; Technology application,"As the public sector increasingly transforms itself and its processes through digital technologies, information—the prime resource—the governance of information, and the need for advanced information skills, have moved to centre stage. Information governance processes form a critical bridge between the legacy systems of the past and the agile and mobile platforms of the future. Describing the forces at play, which include new information formats, modes of transmission and uses but also new skills and governance requirements, this article proposes an information governance‐centred research agenda. Considering information governance through a holistic lens is essential to ensure that the new possibilities available through technology can be leveraged to transform government, while government information itself is preserved as the essential tool for current and future government decision‐making, as a critical service to the public, as public memory, and as the foundation for public sector accountability and transparency.
 Sommaire
 Alors que le secteur public et ses processus se transforment de plus en plus par le biais des technologies numériques, l'information – la première ressource – la gouvernance de l'information, et la nécessité d'avoir des compétences numériques de pointe sont parvenues au premier plan. Les processus d'information de la gouvernance constituent une passerelle cruciale entre les anciens systèmes et les plateformes agiles et mobiles de l'avenir. Cet article décrit les forces en jeu, qui comprennent des formats d'information, des modes de transmission et d'utilisation nouveaux, ainsi que de nouvelles compétences et exigences en matière de gouvernance; il propose un programme de recherche axé sur la gouvernance de l'information. Il est crucial d'aborder la gouvernance de l'information par une approche holistique afin d'assurer que les nouvelles possibilités offertes par la technologie puissent être mises à profit pour transformer le gouvernement, tandis que l'information gouvernementale est elle‐même préservée en tant qu'outil essentiel de prises de décision actuelles et futures, service fondamental au public, mémoire collective, et fondement pour l'imputabilité et la transparence du secteur public.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_wiley_primary_10_1111_capa_12227_CAPA12227
