Title,Author,Keywords,Description,Permalink
"Big Nihilism: Generation Z, Surveillance Capitalism, and the Emerging Digital Technocracy","Robson, Garry","Arts & Humanities ; Digital natives ; Heidegger, Martin ; History Of Social Sciences ; Information Science & Library Science ; Pentland, Alex ; Power ; Science & Technology ; Snowden, Edward Joseph ; Social physics ; Social Sciences - Other Topics ; Suicides & suicide attempts ; Surveillance ; Surveillance capitalism","The promise of an open cyberspace driven by an empowered generation of ""digital natives"" has collapsed, due to the corporate capture of the internet and the psycho -social immiseration of youngsters caused by the instrumental manipula-tion of them at the screen interface. Certain strands in the twentieth-century philosophy of technology can throw light on these developments in terms of (1) Martin Heidegger's suggestion that the expanding influence of 'Technik' tends toward the treatment of persons as exploitable things, or ""standing reserve,"" and (2) Jacques Ellul's contention that humans would in time and of necessity assimilate themselves to vast and autonomous technologi-cal system. Young people are now being largely shaped by ""social phys-ics,"" as big data-derived fodder for the creation of a hive mind in the interests of technocratic social control and corpo-rate profiteering.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_gale_lrcgauss_A759844216
Big Data & Society: The State of Google Critique and Intervention,"Mager, Astrid ; Rogers, Richard ; Norocel, Ov Cristian","EU policy ; Gender Studies ; Google ; Information Systems, Social aspects ; Media and Communications ; Other Social Sciences ; Political Science (excluding Public Administration Studies and Globalization Studies) ; search engine studies",*No Description*,https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_swepub_primary_oai_lup_lub_lu_se_5151ee89_cea4_4b14_ac98_b424d872aec6
An Evidence of the Seamless Experience: Touchy Promotional Campaign,"Ahmed, Sohel ; Ting, Ding Hooi ; Johl, Satirenjit Kaur",Consumer research ; Customer feedback ; Sensitivity analysis ; Software industry ; Studies,"In recent times, the notion of consumer emotional and sentimental engagement through promotional campaigning has drawn increasing attention from practitioners'. Different types of strategies are being employed by the marketers for capturing emotional sentiments of consumers' and also attempting to modify consumers' behavior towards the company's goal. However, present academic advertisement literatures do not have many evidences of currently used marketer's advertisement tactics. The focus of this study is to examine the underlying reasons on what draws consumers to participate and engage in promotional activities. This study highlights a marketer proposed promotional ingredients that is called seamless experience and also to come across upon its evidences in successful advertisement or promotional campaign. Seamless experience is one of the three components of invitational marketing concept; a new concept of the promotional campaign that is sponsored by marketers.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_proquest_journals_1759325507
Algorithmic probing: Prompting offensive Google results and their moderation,"Rogers, Richard","algorithmic probing ; content moderation ; Google autocomplete ; search engine results ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; Stereotypes","Google results have been scrutinized over the years for what they privilege, be it the surface web, the powerful, optimized webpages, the personalized and/or their own properties. For some time now, another type of Google returns also has been the source of attention: the offensive result. The following revisits a selection of offensive and other problematic results found by journalists and researchers alike. In a technique termed ‘algorithmic probing’, the prompting queries are re-run to study what has come of these results in Google Web and Image Search but mainly in Google Autocompletion. The question concerns a different kind of privileging – Google's hierarchy of concerns – or the extent to which certain categories as well as languages are moderated and others less so. In all, it was found that Google heavily moderates religion, ethnicities and sexualities (albeit with gaps) but leaves alone stereotypes of gendered professions as well as ageism. It also moderates to a greater degree in English compared to southern European and Balkan languages. The article concludes with a discussion of the stakes of Google's moderation, including its uneven coverage.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_doaj_primary_oai_doaj_org_article_068cedfb5ad0458da1f5c7e01aa0106a
Aestheticizing Google critique: A 20-year retrospective,"Rogers, Richard","Deep web ; filter bubble ; Google ; information politics ; Internet censorship ; Licensing (technology) ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary","With Google marking its 20th year online, the piece provides a retrospective of cultural commentary and select works of Google art that have transformed the search engine into an object of critical interest. Taken up are artistic and cultural responses to Google by independent artists but also by cultural critics and technology writers, including the development of such evocative notions as the deep web, flickering man and filter bubble. Among the critiques that have taken shape in the works to be discussed here are objects and subjects brought into being by Google (such as ‘spammy neighbourhoods’), Googlization, Google’s information politics, its licensing (or what one is agreeing to when searching) as well as issues surrounding specific products such as Google Street View, as Google leaves the web, capturing more spaces to search.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_doaj_primary_oai_doaj_org_article_c49ba8eade8e4e9f9c306f6d36b0b073
Advancing search engine studies: The evolution of Google critique and intervention,"Mager, Astrid ; Norocel, Ov Cristian ; Rogers, Richard","EU policy ; Gender Studies ; Generative artificial intelligence ; Google ; Information Systems, Social aspects ; Intervention ; Media and Communications ; Other Social Sciences ; Political Science (excluding Public Administration Studies and Globalization Studies) ; Search engine studies ; Social Sciences - Other Topics ; Social Sciences, Interdisciplinary ; Sociology (excluding Social Work, Social Psychology and Social Anthropology)","In this piece, which frames the special issue, “The State of Google Critique and Intervention,” we provide an overview of research focusing on Google as an object of critical study, fleshing out the European interventions that actively attempt to address its dominance. The article begins by mapping out key areas of articulating a Google critique, from the initial focus on ranking and profiling to the subsequent scrutiny of user exploitation and competitive imbalance. As such, it situates the contributions to this special issue concerning search engine bias and discrimination, the ethics of Google Autocomplete, Google's content moderation, the commodification of engine audiences and the political economy of technical systems in a broader history of Google criticism. It then proceeds to contextualize the European developments that put forward alternatives and draws attention to legislative efforts to curb the influence of big tech. We conclude by identifying a few avenues for continued critical study, such as Google's infrastructural bundling of generative artificial intelligence with existing products, to emphasize the importance of intervention in the future.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_doaj_primary_oai_doaj_org_article_ee62d462f40d4f4bb848ba6d7b9cbd2c
A preliminary test of Google Scholar as a source for citation data: a longitudinal study of Nobel prize winners,"Harzing, Anne-Wil","Article ; Bibliometrics. Scientometrics ; Bibliometrics. Scientometrics. Evaluation ; Citation analysis ; Computer Science, Interdisciplinary Applications ; Exact sciences and technology ; Google Scholar ; Information and communication sciences ; Information Science & Library Science ; Information science. Documentation ; Library and information science. General aspects ; Science & Technology ; Sciences and techniques of general use ; Web of science","Most governmental research assessment exercises do not use citation data for the Social Sciences and Humanities as Web of Science or Scopus coverage in these disciplines is considered to be insufficient. We therefore assess to what extent Google Scholar can be used as an alternative source of citation data. In order to provide a credible alternative, Google Scholar needs to be stable over time, display comprehensive coverage, and provide non-biased comparisons across disciplines. This article assesses these conditions through a longitudinal study of 20 Nobel Prize winners in Chemistry, Economics, Medicine and Physics. Our results indicate that Google Scholar displays considerable stability over time. However, coverage for disciplines that have traditionally been poorly represented in Google Scholar (Chemistry and Physics) is increasing rapidly. Google Scholar’s coverage is also comprehensive; all of the 800 most cited publications by our Nobelists can be located in Google Scholar, although in four cases there are some problems with the results. Finally, we argue that Google Scholar might provide a less biased comparison across disciplines than the Web of Science. The use of Google Scholar might therefore redress the traditionally disadvantaged position of the Social Sciences in citation analysis.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/o2sdmu/cdi_pascalfrancis_primary_27062468
“There’s No Way Abraham Lincoln Could Work at Google”: Fox News and the Politics of Breaking Up Big Tech,"Medeiros, Ben",Antitrust ; Fox News ; Google ; Segments ; tech regulation,"This paper analyzes a corpus of segments from the Tucker Carlson Tonight program concerning “big tech” (focusing specifically on Google) and contextualizes this analysis within the political history of American media and technology regulation. Conservatives have long lamented the so-called liberal bias in media, but have also traditionally supported business deregulation and an antitrust approach narrowly concerned with consumer welfare. The textual analysis of Fox segments first shows that recurring complaints about the bias of Google's employees and executives is connected with its market dominance, and they frequently position corporations rather than government as the central threat to freedom. The solutions discussed, correspondingly, often favor greater structural intervention in the market to mitigate concentration’s deleterious political consequences. I show how the critique on Carlson’s show and recent attention to the issue from the executive branch represent a new manifestation of the theory of ideological evolution that Jack Balkin has called “ideological drift,” in which a political idea (in this case, the “Brandeisian” approach to antitrust law) changes valence in different material circumstances and thus finds new proponents.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_2608049324
Dialogic Collaboration across Sectors: Partnering for Sustainability,"Colaner, Nathan ; Imanaka, Jessica Ludescher ; Prussia, Gregory E. ",Collaboration ; Natural environment,"A substantial body of literature in the management discipline has evolved to make the case for and analyze the impacts of cross‐sector partnerships (CSPs). Yet, not all of these CSPs manifest the requisite collaborative propensities to achieve much more than superficial sustainability. Moreover, other disciplines like economics need to be brought to bear on analyses of such partnerships. In this article, we frame sustainable development challenges as collective action problems. We argue that over‐emphasizing the role of a single actor or institution will not yield genuine sustainability. Instead, we propose that a collaborative orientation is necessary for business managers as they deal with challenges as expansive and complex as those presented by goals of the sustainability of the natural environment. Cross‐sector collaborative partnerships (CSCPs) are needed to achieve collective responsibility, wherein dialogic CSCPs issue in a new paradigm of collaborative markets. Market‐based solutions that ignore or minimize the important contributions that may be made by government, academia, and civil society organizations must give way to new models of collaboration across sectors. We identity specific challenges and opportunities for cross‐sector collaboration and provide case examples. There are important limits to addressing environmental and ethics problems from a single sector focus, and we show how meaningful sustainability can be facilitated within a dialogic cross‐sector collaborative perspective.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_2251046651
Trace-Based Workload Generation and Execution,"Sfakianakis, Yannis ; Kanellou, Eleni ; Marazakis, Manolis ; Bilas, Angelos",Simulation ; Trace," Although major cloud providers have captured and published workload executions in the form of traces, it is not clear how to use them for workload generation on a wide range of existing platforms. A methodological challenge that remains is to generate and execute realistic datacenter workloads on any infrastructure, using information from available traces. In this paper, we propose Tracie, a methodology addressing this challenge, and introduce the tool supporting its implementation. We present all the necessary steps starting from a trace up to workload execution: analysis of datacenter traces, extraction of parameters, application selection, and scaling of a workload to match the capabilities of the underlying infrastructure. Our evaluation validates that Tracie can generate executable workloads that closely resemble their trace-based counterparts. For validation, we correlate the recorded system metrics of a trace against the actual execution. We find that the average system metrics of synthetic workloads differ at most 5% compared to the trace and that they are highly correlated at 70% on average.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_springer_books_10_1007_978_3_030_85665_6_3
The four models of corporate entrepreneurship ,"Wolcott, Robert C. ; Lippitz, Michael J.",Business models ; Formal organization ; Innovations ; Market positioning ; R&D ; Research & development ; Studies,"How can established organizations build successful new businesses on an ongoing basis? In their study of nearly 30 corporations as diverse as Google, DuPont and Cargill, the authors identified two dimensions under the direct control of management that consistently differentiated how companies approach corporate entrepreneurship. The first is organizational ownership: Will the primary ownership for the creation of new businesses be focused in a designated group, or will it be diffused across the organization? The second is resource authority: Will projects be funded from a dedicated corporate pool of money or in an ad hoc manner, perhaps through business-unit budgets? Together the two dimensions generate a matrix with four basic models of corporate entrepreneurship: the opportunist, the enabler, the advocate and the producer. In the opportunist model (example: Zimmer Holdings), the company has no deliberate approach to corporate entrepreneurship, and new businesses are built mainly from the grassroots efforts of a few project champions. Enabler companies (example: Google) provide funding and senior executive attention to prospective projects. In the advocate model (example: DuPont), the company strongly evangelizes for corporate entrepreneurship, but business units provide the primary funding. Lastly, producer companies (example: Cargill) establish and support a full-service group with a mandate for corporate entrepreneurship. Each of the four models has a different objective, function and set of challenges. Whichever model is chosen, the crucial thing to remember is that corporate entrepreneurship needs to be nurtured and managed as a strategic, deliberate act.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_224967620
Assessment of the Quality of Web-based Information on Bunions,"Cong, Yew Ming ; Fraval, Andrew ; Chandrananth, Janan ; Plunkett, Virgina ; Tran, Phong",bunions ; Consumer Health Information - methods ; Consumer Health Information - standards ; Index Medicus ; Internet - standards ; Life Sciences & Biomedicine ; Science & Technology ; Search Engine,"Background: The Internet provides a large source of health-related information for patients. However, information on the Internet is mostly unregulated, ranging from factually correct to misleading or contradictory information. The objective of this study was to determine the quality of information available on World Wide Web on the topic of bunions. Methods: Websites were identified using 3 search engines (Google, Yahoo, and MSN) and the search term bunions. The first 30 websites in each search were analyzed. Websites were assessed using the validated DISCERN rating instrument to determine the quality of health content and treatment information. The DISCERN tool possesses moderate to very good strength of interobserver agreement, ranging from .41 to .82. Results: A total of 90 websites were assessed and studied. Forty-eight sites were duplicated, leaving 42 unique sites. Of these, 60% (25/42) provided patient-related information, 21% (9/42) were advertisements, 7% (3/42) promoted medical centers, 5% (2/42) were dead links, 5% (2/42) were news articles, and 2% (1/42) was doctor’s information. In determining the quality of unique sites, of a maximum score of 5, the average overall DISCERN score was 2.9 (range, 1.8 to 4.6). Only 24% (10/42) of websites were classified as “good” or “excellent.” Although most websites contained information on symptoms, causes, risk factors, investigations, and treatment options on bunions, 60% (25/42) did not provide adequate information on the benefits for each treatment, 45% (19/42) did not contain any risks of treatment, and 76% (32/42) did not describe how treatment choices affect overall quality of life. The sources of information were clear in 33% (14/42), and the date when this information was reviewed was given in only 50% (21/42). Only 29% (12/42) of websites had been updated within the past 2 years. Conclusions: Overall, the quality of patient information on bunions varies widely. We believe clinicians should guide patients in identifying the best possible and genuine information on the World Wide Web. Clinical Relevance: Patients are commonly using the internet as an information resource, in spite of the highly variable quality of this information. They should be encouraged to exercise caution and to utilize only well-known sites.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_miscellaneous_1418148522
What IS Can Do for Environmental Sustainability: A Report from CAiSE´11 Panel on Green and Sustainable IS,"Pernici, Barbara ; Aiello, Marco ; vom Brocke, Jan ; Donnellan, Brian ; Gelenbe, Erol ; Kretsis, Mike",Engineering research,"The panel on Green and Sustainable Information Systems at the 21st International Conference on Information Systems Engineering (CAiSE’11), held in London in June 2011, was held to discuss issues in Environmental Sustainability and Information Systems within the Information Systems Engineering research community. This panel report describes the panelists’ views on using information systems for improving sustainability and on improving the energy efficiency of the data centres on which information systems are based. The current topics of research, possible contributions of the IS community, and future directions are discussed.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_2500529161
Google Books Review,"Harper, Sarah Fletcher",e-books ; electronic books ; google ; google books ; product review,"Google Books provides a large number of resources that have been scanned by participating libraries and publishers. Google indexed these works using Optical Character Recognition software to make them discoverable. Due to the nature of health sciences research and its reliance on up-to-date materials, most of the content in Google Books does not seem to be of great use. However, if library integration is introduced into this product in the future, as it is currently with Google Scholar, Google Books may become a much more useful resource for health sciences libraries.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_2444933494
"Desperate science fiction: on how Musk, Bezos, Gates and Google plan to escape socio-ecological collapse","Andersen, Gregers",algorithmic governance ; climate change ; geoengineering ; Impending ; Science Fiction & fantasy ; space colonisation ; Techno-optimism ; Ventures,"With the early 2020s fostering an array of intensified climate-driven catastrophes, a key question is how humanity will respond to its impending transgressions of climatic and ecosystemic tipping points. In this light, this article explores how some of the world's richest entrepreneurs and companies resort to desperate science fiction, that is, to increasingly drastic techno-optimistic ventures. More precisely, the article zooms in on plans put forward and financially supported by Elon Musk, Jeff Bezos, Bill Gates and Google in order to show how these ventures manifest as (1) fanciful plans of leaving Earth and settling on other planets, (2) major geoengineering schemes in which the Earth System becomes the object of terraforming and (3) attempts to manipulate human behaviour via big data. Furthermore, the article argues that these three forms of desperate science fiction are deeply problematic, because they siphon attention away from important democratic conversations about which degrowth-models societies across the planet should pursue and seek to develop. To change this, the article argues, we need to see the three forms of desperate science fiction advanced by Musk, Bezos, Gates and Google for what they are: deceptive attempts to preserve a deeply unjust and destructive economic system.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_informaworld_taylorfrancis_310_1080_14735784_2023_2257404
"Digging into Google Earth: An analysis of ""Crisis in Darfur""","Parks, Lisa",Critical analysis ; Darfur ; Google Earth ; International conflicts ; Mapping ; Spatial analysis,"Google publicists have suggested the Crisis in Darfur is an example of the Google Earth software’s “success at tangibly impacting what is happening on the ground.” Yet whether or not Google Earth’s interface, along with a medley of other media representations of the conflict, have impacted events on the ground or led to coherent policies of humanitarian intervention remains open to debate. This article draws upon critical approaches from media studies—namely discourse analysis—to analyze several aspects of the Google Earth/USHMM Crisis in Darfur project. While this project was no doubt developed with the noble intention of generating international awareness about widespread violence that has recently occurred in the Darfur region, it is important to evaluate how representations of global conflicts are changing with uses of new information technologies and whether such representations can actually achieve their desired impacts or effects. The article begins with a discussion of the Crisis in Darfur project’s history, proceeds to analyze some of the press coverage of the project and then moves to a critique of the layer using four categories of analysis: (1) the shifting role of satellite image; (2) the temporality of the interface; (3) the practice of conflict branding; and (4) the practice of “information intervention.” Throughout the article, I explore how the presentation of Darfur-related materials through Google Earth reproduces problematic Western tropes of African tragedy and misses an opportunity to generate public literacy around satellite images. I also consider how humanitarianism is intertwined with digital and disaster capitalism, and suggest that this instance of “information intervention” makes patently clear that high visual capital alone cannot resolve global conflicts.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_miscellaneous_37191364
Machine Learning and the Platformization of the Military: A Study of Google's Machine Learning Platform TensorFlow,"Hoijtink, Marijn ; Planqué-van Hardeveld, Anneroos","Infrastructure ; Language processing ; Natural language interfaces ; Security ; Surveillance ; Teams ; van Dijck, José","Against the background of the growing use of machine learning (ML) based technologies by the military, our article calls for an analytical perspective on ML platforms to understand how ML proliferates across the military and to what effects. Adopting a material–technical perspective on platforms as developed within new media studies, and bringing this literature to critical security studies, we suggest that a focus on platforms and the technical work they do is needed to understand how digital technologies are emerging and shaping security practices. Through a detailed study of Google's open-source ML platform TensorFlow and a discussion of the US Department of Defense Algorithmic Warfare Cross-Functional Team, or Project Maven, we make two broader contributions. First, we identify a broader “platformization” of the military, with which we refer to the growing involvement and permeation of the (technomaterial) ML platform as the infrastructure that enables new practices of decentralized and experimental algorithm development across the military. Second, we draw out how this platformization is accompanied by new entanglements between the military and actors in the corporate domain, especially Big Tech, which play a key role in this context, as well as the open-source community that is organized around these platforms.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_proquest_journals_2677262564
Google Capitalism ,"Fuchs, Christian",Audience Commodity ; Google ; Internet Prosumer Commodification ; Media and Communication Studies ; Prosumer Commodity,"This paper analyzes Google’s political economy. In section 2, Google’s cycle of capital accumulation is explained and the role of surveillance in Google’s form of capital accumulation is explained. In section 3, the discussion if Google is “evil” is taken up. Based on Dallas Smythe’s concept of the audience commodity, the role of the notion of Internet prosumer commodification is stressed.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_doaj_primary_oai_doaj_org_article_605e1a0ae27749038d56b45db41df3ef
Don’t Be Evil: Should We Use Google in Schools?,"Krutka, Daniel G. ; Smits, Ryan M. ; Willhelm, Troy A.",Learning and Instruction ; Legal Problems ; Original Paper ; Technology Uses in Education,"Google is a multinational technology company whose massive advertising profits have allowed them to expand into many areas, including education. While the company has increasingly faced public scrutiny, the use of Google software and hardware in schools has often resulted in little debate. In this paper, we conduct a technoethical audit of Google to address ethical, legal, democratic, economic, technological, and pedagogical concerns educators, students, and community members might consider. We describe how Google extracts personal data from students, skirts laws intended to protect them, targets them for profits, obfuscates the company's intent in their Terms of Service, recommends harmful information, and distorts students’ knowledge. We propose that educators and scholars more closely interrogate the tools of Google and other technology companies to move toward more democratic and just uses of technology in schools.",https://gslg-hb.primo.exlibrisgroup.com/permalink/46GSLG_BORAS/9ip59g/cdi_pubmedcentral_primary_oai_pubmedcentral_nih_gov_7972328